id,closeness_to_holiday,B,Month,product_page_duration,BounceRates,info_page_duration,total_duration,device,num_of_admin_pages,num_of_product_pages,C,ExitRates,num_of_info_pages,D,user_type,Region,admin_page_duration,PageValues,A,Weekend,internet_browser,purchase
20,1,108.0186611,Feb,136.16666669999998 minutes,0,0.0 minutes,136.1666667,2,0,8,log_100,0.008333333,0,,Returning_Visitor,5,0,0,c_1,1,chrome_80,0
21,0,98.05138428,Feb,0.0 minutes,0.2,0.0 minutes,,3,0,2,log400,0.2,0,,Returning_Visitor,1,0,0,c_3,0,browser_3_v18,0
23,0.8,109.4654222,Feb,15.0 minutes,0,0.0 minutes,,2,0,2,log404,0.1,0,,Returning_Visitor,1,0,0,c_3,0,edge_98.0.1108.84,0
24,,91.51792559,Feb,0.0 minutes,0.2,0.0 minutes,0,2,,1,log202,0.2,0,,Returning_Visitor,4,0,0,c_1,1,chrome_80,0
25,,97.02891279,Feb,156.0 minutes,0,0.0 minutes,,1,0,5,log404,0.04,0,,Returning_Visitor,9,0,0,c_3,0,safari_13,0
27,0,103.6419347,Feb,76.0 minutes,0.05,0.0 minutes,,1,0,4,log_100,0.1,0,,Returning_Visitor,1,0,0,c_3,0,safari_13,0
28,0.2,90.60686653,Feb,63.0 minutes,0,0.0 minutes,63,2,0,4,log400,0.05,0,,Returning_Visitor,1,0,0,c_3,0,browser_6_v14,0
29,0.4,87.26163423,Feb,1582.75 minutes,0.043478261,0.0 minutes,1588.75,3,1,45,log400,0.050821256,1,,Returning_Visitor,1,6,54.17976426,c_1,0,chrome_98.0.1,0
30,0,83.14273706,Feb,35.0 minutes,0,0.0 minutes,,1,0,2,log_100,0.1,0,,Returning_Visitor,6,0,0,c_3,0,,0
31,0,96.58878358,Feb,78.0 minutes,0,0.0 minutes,,1,0,3,log400,0.066666667,,,Returning_Visitor,6,0,0,c_6,1,chrome_80,0
32,0,107.1368071,Feb,209.5 minutes,0,0.0 minutes,,2,0,8,log_100,0.025,0,,Returning_Visitor,1,0,0,c_1,0,chrome_89,0
33,0,81.60040189,Feb,183.66666669999998 minutes,0.04,0.0 minutes,183.6666667,1,0,10,log202,0.08,0,,Returning_Visitor,3,0,0,c_1,0,safari_13,0
34,0,83.31060547,Feb,380.5 minutes,0.014285714,0.0 minutes,,2,0,14,log404,0.028571429,0,,Returning_Visitor,1,0,0,c_1,0,chrome_90.1.7,0
35,0,104.3032378,Feb,2086.242857 minutes,0.015384615,0.0 minutes,,2,0,52,log200,0.020352564,0,,Returning_Visitor,7,0,0,c_1,0,chrome_99.1.3,0
36,0,88.38501179,Feb,388.0 minutes,0.025,0.0 minutes,,3,0,8,log202,0.05625,0,,Returning_Visitor,1,0,0,c_4,1,chrome_99.1.3,0
37,0.8,113.9864031,Feb,298.0 minutes,0,0.0 minutes,,2,2,5,log200,0.028571429,,,Returning_Visitor,8,18,0,c_4,0,chrome_89,0
38,0.6,107.0423985,Feb,63.0 minutes,0.028571429,0.0 minutes,63,2,0,7,log202,0.071428571,0,,Returning_Visitor,1,0,0,c_3,0,chrome_89,0
39,0,111.6110968,Feb,482.0 minutes,0,0.0 minutes,482,2,0,9,log400,0.022222222,0,,Returning_Visitor,1,0,0,c_6,0,browser_5_v11,0
40,0,103.8716473,Feb,4084.393939 minutes,0,0.0 minutes,4093.393939,2,1,46,log200,0.001794872,0,,Returning_Visitor,8,9,0,c_4,0,chrome_98.0.1,0
41,0.6,97.19480659,Feb,22.0 minutes,0,0.0 minutes,22,1,0,3,log202,0.066666667,0,,Returning_Visitor,3,0,0,c_2,0,safari_15.2,0
42,0,85.55518853,Feb,310.1666667 minutes,0,0.0 minutes,310.1666667,1,0,15,log_100,0.006666667,0,,Returning_Visitor,4,0,0,c_4,0,safari_15,0
43,0.4,105.8017286,Feb,,0,0.0 minutes,,3,0,2,log404,0.05,0,,Returning_Visitor,2,0,0,c_3,0,chrome_99.1.4,0
44,0,87.87226779,Feb,88.0 minutes,0,0.0 minutes,88,4,0,4,log_100,0.05,0,,Returning_Visitor,1,0,0,c_3,0,safari_15.4,0
45,0.2,90.56265087,Feb,622.25 minutes,0.003030303,0.0 minutes,622.25,2,0,22,log404,0.006060606,0,,Returning_Visitor,1,,0,c_4,0,browser_5_v20,0
46,0,97.37564259,Feb,,0.017142857,0.0 minutes,222.4,1,0,14,log8080,0.057142857,0,,Returning_Visitor,1,0,0,c_2,0,safari_15.4,0
47,0.2,108.6619427,Feb,80.0 minutes,0.066666667,0.0 minutes,80,3,,3,log400,0.133333333,0,,Returning_Visitor,1,0,0,c_3,0,chrome_99.1.4,0
48,0,100.0674954,Feb,800.8333332999999 minutes,0,0.0 minutes,800.8333333,3,0,11,log404,0.003636364,0,,Returning_Visitor,1,0,0,c_3,0,chrome_98.0.1,0
49,0.6,102.7246127,Feb,0.0 minutes,0.2,0.0 minutes,0,2,0,1,log404,0.2,0,,Returning_Visitor,3,0,0,c_2,0,,0
50,0,92.74429148,Feb,0.0 minutes,0.2,0.0 minutes,,1,0,1,log200,0.2,0,,Returning_Visitor,3,0,0,c_4,1,safari_13.1,0
52,1,122.4894557,Feb,29.0 minutes,0,0.0 minutes,,2,0,2,log8080,0.1,0,,Returning_Visitor,4,0,0,c_2,1,edge_97.0.1072.76,0
53,0,120.1748544,Feb,160.0 minutes,0,0.0 minutes,,4,0,4,log400,0.075,0,,Returning_Visitor,2,0,0,c_3,0,chrome_89,0
54,0.4,108.0408379,Feb,,0.05,0.0 minutes,135.6666667,,0,4,log_100,0.025,0,,Returning_Visitor,1,0,0,c_4,0,browser_3_v11,0
55,0.2,110.6750383,Feb,0.0 minutes,0.2,0.0 minutes,,2,0,1,log_100,0.2,0,,Returning_Visitor,1,,0,c_3,0,edge_96.0.1054.72,0
56,0.6,93.71170815,Feb,0.0 minutes,0.2,0.0 minutes,,3,0,1,log200,0.2,0,,Returning_Visitor,3,0,0,c_3,0,chrome_99.1.4,0
57,0.2,96.873638,Feb,998.7416667000001 minutes,0,120.0 minutes,1174.741667,2,4,36,log_100,0.014736467,2,,Returning_Visitor,4,56,19.44707913,c_1,0,chrome_90.1.7,0
58,0.4,110.1737968,Feb,104.0 minutes,0,0.0 minutes,104,2,0,4,log400,0.05,0,,Returning_Visitor,6,0,0,c_3,0,browser_6_v12,0
59,0.6,85.25907261,Feb,381.6865079 minutes,0.011764706,0.0 minutes,397.6865079,2,2,16,log200,0.046568627,0,,Returning_Visitor,2,16,0,c_1,0,edge_99.0.1150.46,0
60,0.4,93.80176081,Feb,169.0 minutes,0,0.0 minutes,,1,0,6,log404,0.016666667,0,,Returning_Visitor,3,0,0,c_3,0,safari_13.1,0
61,0,99.67283857,Feb,400.8 minutes,0.05,0.0 minutes,400.8,1,0,8,log8080,0.120833333,0,,Returning_Visitor,1,0,0,c_3,0,safari_13.1,0
62,0,98.13920158,Feb,1553.583333 minutes,0.009,0.0 minutes,1833,1,12,42,log404,0.019666667,0,,Returning_Visitor,3,279.4166667,38.30849268,c_2,0,safari_15.2,0
63,0,105.0741861,Feb,706.5 minutes,0,0.0 minutes,706.5,2,0,14,log202,0.007142857,0,,Returning_Visitor,5,0,0,c_4,1,chrome_90.1.7,0
64,0,101.0269247,Feb,0.0 minutes,0.2,0.0 minutes,0,2,,1,log8080,0.2,,,Returning_Visitor,4,0,0,,0,chrome_90.1.7,0
65,0.8,113.8125357,Feb,,0,0.0 minutes,886.1666666,2,3,27,log_100,0.012643678,0,,Returning_Visitor,3,87.83333333,22.9160357,c_1,0,chrome_98.0.1,1
66,0,104.4533732,Feb,6951.972222 minutes,0.002150538,0.0 minutes,,4,4,90,log404,0.015013034,0,,Returning_Visitor,1,44,0,c_3,0,safari_13.1,0
67,0.6,110.3505276,Feb,0.0 minutes,0.2,0.0 minutes,0,2,0,1,log8080,0.2,0,,Returning_Visitor,5,0,0,c_1,0,chrome_89,0
68,0,102.922492,Feb,902.0 minutes,0,0.0 minutes,,2,0,18,log_100,0.007407407,0,,Returning_Visitor,2,0,0,c_4,0,browser_7_v11,0
69,0.2,100.9537399,Feb,0.0 minutes,0.2,0.0 minutes,,3,0,1,log200,0.2,0,,Returning_Visitor,3,0,0,c_3,0,chrome_98.0.1,0
70,0,103.6309014,Feb,0.0 minutes,0.2,0.0 minutes,,2,0,1,log_100,0.2,0,,Returning_Visitor,1,0,0,c_2,0,browser_6_v14,0
71,0,106.2978493,Feb,197.37777780000002 minutes,0.025,,197.3777778,2,0,20,log400,0.0525,0,,Returning_Visitor,6,0,0,c_1,0,browser_6_v12,0
72,0.4,120.9702043,Feb,43.0 minutes,0,0.0 minutes,43,2,0,,log8080,0.1,0,,Returning_Visitor,3,0,0,c_3,0,chrome_98.0.1,0
74,0,108.0464275,Feb,,0,0.0 minutes,,2,0,3,log200,0.066666667,0,,Returning_Visitor,3,,0,c_3,0,edge_99.0.1150.46,0
75,0,90.37499077,Feb,588.3333332999999 minutes,0,0.0 minutes,,2,0,16,log_100,0.025,,,Returning_Visitor,1,0,0,c_1,0,edge_96.0.1054.75,0
76,0,88.00183992,Feb,2111.341667 minutes,0.004347826,0.0 minutes,3117.008334,2,10,36,log404,0.014492754,0,,Returning_Visitor,1,1005.666667,11.43941195,c_2,0,browser_6_v16,1
77,0.6,101.3291906,Feb,76.0 minutes,0,0.0 minutes,76,3,0,2,log8080,0.05,0,,Returning_Visitor,3,0,0,c_3,0,chrome_99.1.3,0
78,1,119.4877799,Feb,0.0 minutes,0.2,0.0 minutes,,,0,1,log202,0.2,0,,Returning_Visitor,1,,0,c_3,1,safari_15.4,0
79,0.4,106.7465747,Feb,0.0 minutes,0.2,0.0 minutes,0,1,0,,log404,0.2,,,Returning_Visitor,1,0,0,c_3,0,safari_13.1,0
80,,94.8578298,Feb,208.0 minutes,0,0.0 minutes,,4,0,7,log8080,0.028571429,0,,Returning_Visitor,1,0,0,c_5,1,safari_15.4,0
81,0.8,89.35919628,Feb,270.0 minutes,0,0.0 minutes,,1,0,4,log200,0.016666667,0,,Returning_Visitor,1,0,0,c_3,0,safari_14.1,0
82,0,75.45281318,Feb,39.5 minutes,0,0.0 minutes,,2,,6,log200,0.02,0,,Returning_Visitor,1,0,0,c_3,0,chrome_89,0
83,0,100.0556408,Feb,375.0 minutes,0.016666667,0.0 minutes,,3,0,12,log200,0.058333333,0,,Returning_Visitor,4,0,0,c_1,0,,0
84,0.8,94.18888562,Feb,0.0 minutes,0.2,0.0 minutes,,2,0,1,log400,0.2,0,,Returning_Visitor,2,0,0,c_1,1,chrome_98.0.1,0
86,0,102.4709418,Feb,150.0 minutes,0.057142857,0.0 minutes,,2,0,7,log202,0.085714286,0,,Returning_Visitor,2,0,0,c_1,0,chrome_90.1.7,0
87,0,112.4423846,Feb,138.0 minutes,0,,,1,0,3,log8080,0.066666667,,,Returning_Visitor,1,0,0,c_3,0,safari_13.1,0
88,0.4,115.9281443,Feb,337.5 minutes,0.028571429,0.0 minutes,,4,0,7,log8080,0.023809524,0,,Returning_Visitor,3,0,0,c_3,0,safari_13.1,0
90,,99.07310578,Feb,168.84615380000002 minutes,0,0.0 minutes,,1,2,15,log8080,0.011764706,0,,Returning_Visitor,1,36,0,c_3,0,safari_14,0
91,0,112.6161488,Feb,0.0 minutes,0.2,0.0 minutes,,1,0,1,log202,0.2,0,,Returning_Visitor,1,0,0,c_2,1,safari_15.4,0
92,0,85.69380829,Feb,52.0 minutes,0,0.0 minutes,52,1,0,2,log400,0.1,0,,Returning_Visitor,1,0,0,c_3,0,safari_15.2,0
93,0,98.92306725,Feb,,0,0.0 minutes,649.25,2,0,13,log_100,0.015384615,0,,New_Visitor,1,0,0,c_5,0,chrome_89,0
94,0.6,111.8327738,Feb,925.3333332999998 minutes,0.003703704,0.0 minutes,,4,0,27,log400,0.025925926,0,,Returning_Visitor,3,0,0,c_3,0,safari_13,0
95,0.2,126.6410392,Feb,33.0 minutes,0,0.0 minutes,,1,0,2,log_100,0.1,0,,Returning_Visitor,1,0,0,c_3,0,safari_15.4,0
96,0.2,104.9711214,Feb,1566.5 minutes,0.05,0.0 minutes,,,0,6,log404,0.066666667,0,,Returning_Visitor,1,0,0,c_3,0,safari_14,0
98,,101.8276003,Feb,50.0 minutes,0.038095238,0.0 minutes,50,,0,7,log202,0.080952381,1,,Returning_Visitor,1,0,0,c_7,0,edge_96.0.1054.72,0
99,0,110.6901954,Feb,644.2 minutes,0.004166667,0.0 minutes,644.2,3,0,16,log404,0.031666667,0,,Returning_Visitor,3,0,0,c_4,0,chrome_90.1.7,0
100,0.4,83.95052587,Feb,2635.177778 minutes,0,0.0 minutes,,2,3,38,log_100,0.008947368,0,,Returning_Visitor,1,18.33333333,0,c_2,0,edge_96.0.1054.72,0
101,1,90.75973838,Feb,607.0 minutes,0,0.0 minutes,,1,4,19,log200,0.026984127,0,,Returning_Visitor,7,61,17.53595893,c_4,1,safari_13.1,1
102,0.4,101.3826995,Feb,415.0 minutes,0,0.0 minutes,,1,0,6,log8080,0.033333333,0,,Returning_Visitor,3,0,0,c_2,0,safari_15.2,0
103,0.8,105.0872224,Feb,2083.530952 minutes,0,16.0 minutes,2130.530952,2,2,36,log202,0.01351025,1,,Returning_Visitor,4,,0,c_3,0,chrome_90.1.7,0
104,0,96.80856279,Feb,281.6666667 minutes,0.007058824,0.0 minutes,340.1666667,1,3,17,log_100,0.017647059,0,,Returning_Visitor,3,,0,c_4,0,safari_14,0
105,0,95.38919467,Feb,,0.15,0.0 minutes,,1,0,2,log404,0.15,0,,Returning_Visitor,7,0,0,c_2,0,safari_15.2,0
106,0.8,115.3133645,Feb,215.0 minutes,0.044444444,0.0 minutes,215,4,0,9,log200,0.074074074,,,Returning_Visitor,1,0,0,c_3,0,safari_15.4,0
107,,110.1979957,Feb,162.0 minutes,0.05,0.0 minutes,162,1,0,12,log8080,0.066666667,0,,Returning_Visitor,1,0,0,c_3,0,safari_14,0
108,0.8,111.3867223,Feb,114.0 minutes,0.05,0.0 minutes,114,3,0,2,log202,0.066666667,0,,Returning_Visitor,1,0,0,c_3,0,browser_3_v12,0
109,0,91.31457168,Feb,5062.213753 minutes,0.000854701,94.0 minutes,5482.463753,2,6,128,log400,0.01791847,4,,Returning_Visitor,1,326.25,0,c_3,0,browser_5_v16,0
111,0.4,91.53726121,Feb,0.0 minutes,0.2,0.0 minutes,0,2,0,4,log_100,0.2,0,,Returning_Visitor,1,0,0,c_3,0,,0
113,0.2,94.2265856,Feb,436.5 minutes,0.008,0.0 minutes,,2,2,25,log8080,0.024,0,,Returning_Visitor,1,22,0,c_1,0,edge_99.0.1150.46,0
114,0.2,109.546824,Feb,1045.833333 minutes,0.012903226,93.0 minutes,1138.833333,1,0,30,log200,0.035483871,1,,Returning_Visitor,1,0,0,c_3,0,safari_13,0
115,0,97.90105518,Feb,317.8333333 minutes,0,0.0 minutes,317.8333333,1,0,12,log200,0.005555556,0,,Returning_Visitor,1,0,0,c_4,1,safari_13,0
117,0.2,105.4593939,Feb,577.0 minutes,0.018181818,0.0 minutes,,2,0,11,log202,0.027272727,0,,Returning_Visitor,3,0,0,c_1,0,chrome_99.1.4,0
118,0,102.0659486,Feb,95.0 minutes,0,0.0 minutes,,4,0,8,log202,0.075,0,,Returning_Visitor,3,0,0,c_3,0,safari_13.1,0
119,0,95.59845488,Feb,301.5 minutes,0,0.0 minutes,301.5,2,0,6,log202,0.111111111,0,,Returning_Visitor,9,0,0,c_3,0,,0
120,0,105.6538363,Feb,243.0 minutes,0,0.0 minutes,243,2,0,6,log202,0.033333333,0,,Returning_Visitor,4,,0,,0,edge_96.0.1054.72,0
121,0.6,113.8775565,Feb,135.5 minutes,0,0.0 minutes,135.5,2,,4,log8080,0.05,0,,Returning_Visitor,1,,0,c_2,0,chrome_98.0.1,0
122,0.8,99.95009022,Feb,442.33333330000005 minutes,0,75.0 minutes,,1,0,14,log8080,0.034375,2,,Returning_Visitor,3,0,0,c_3,0,safari_13.1,0
123,,107.4596723,Feb,41.0 minutes,0,0.0 minutes,41,1,0,3,log_100,0.066666667,0,,Returning_Visitor,3,0,0,c_3,0,safari_14,0
124,0,95.34722787,Feb,292.9 minutes,0.028,0.0 minutes,,2,0,11,log200,0.11952381,0,,Returning_Visitor,3,0,0,c_1,0,edge_96.0.1054.75,0
125,0,98.91751323,Feb,0.0 minutes,0.2,0.0 minutes,0,1,0,1,log404,0.2,0,,Returning_Visitor,3,0,0,c_3,0,safari_15,0
126,0.4,77.77093665,Feb,1238.333333 minutes,0,0.0 minutes,,2,0,9,log404,0.040740741,0,,Returning_Visitor,1,,0,c_3,0,chrome_99.1.4,0
128,0.6,92.04346987,Feb,1873.2166670000001 minutes,0,0.0 minutes,2335.216667,2,4,51,log200,0.00754717,0,,Returning_Visitor,9,462,0,c_3,0,chrome_99.1.3,0
129,0,95.44831192,Feb,,0.133333333,0.0 minutes,,2,0,3,log_100,0.166666667,0,,Returning_Visitor,1,0,0,,0,edge_97.0.1072.76,0
130,0,91.51720667,Feb,222.0 minutes,0,0.0 minutes,222,2,0,,log_100,0.1,0,,Returning_Visitor,1,0,0,,1,browser_6_v17,0
132,,100.613813,Feb,,0.2,0.0 minutes,0,3,0,1,log200,0.2,0,,Returning_Visitor,3,0,0,c_3,0,chrome_99.1.4,0
133,0.8,96.37082225,Feb,2017.1666670000002 minutes,0,0.0 minutes,,2,0,6,log404,0.011111111,0,,Returning_Visitor,4,0,0,c_3,0,chrome_89,0
134,,90.0849256,Feb,449.02777779999997 minutes,0,0.0 minutes,,1,6,26,log404,0.018518519,0,,Returning_Visitor,3,111.5,0,c_3,0,safari_15,0
135,0,90.82722006,Feb,158.16666669999998 minutes,0,0.0 minutes,158.1666667,3,0,6,log200,0.033333333,0,,Returning_Visitor,4,,0,c_2,0,,0
136,0,111.4868918,Feb,303.6666667 minutes,0.005555556,,303.6666667,2,0,9,log202,0.046296296,0,,Returning_Visitor,5,0,0,c_2,0,edge_96.0.1054.75,0
137,0,96.19460045,Feb,25.0 minutes,0,0.0 minutes,,2,0,3,log202,0.066666667,0,,Returning_Visitor,1,0,0,c_5,0,edge_96.0.1054.75,0
138,,118.7590556,Feb,42.0 minutes,0.05,0.0 minutes,42,2,0,2,log8080,0.15,0,,Returning_Visitor,1,0,0,c_4,0,chrome_89,0
139,0.2,92.51332412,Feb,1003.416667 minutes,0,0.0 minutes,,1,4,14,log200,0.018039216,0,,Returning_Visitor,3,103.625,0,c_3,0,safari_13,0
140,0,105.1444301,Feb,0.0 minutes,0.2,0.0 minutes,0,2,0,1,log400,0.2,0,,Returning_Visitor,7,0,0,c_3,0,,0
142,0,95.49653115,Feb,344.0 minutes,0,0.0 minutes,363,2,3,8,log_100,0.007407407,0,,Returning_Visitor,2,19,0,c_3,0,edge_98.0.1108.84,0
143,0,81.2494534,Feb,0.0 minutes,0.2,0.0 minutes,,2,0,1,log200,0.2,0,,Returning_Visitor,2,0,0,c_3,0,chrome_99.1.3,0
144,0,111.1755007,Feb,852.0 minutes,0,19.0 minutes,,2,0,10,log202,0.009090909,1,,Returning_Visitor,3,0,0,,0,chrome_99.1.4,0
145,0.4,104.4805848,Feb,780.0 minutes,0.066666667,0.0 minutes,780,2,0,3,log400,0.066666667,0,,Returning_Visitor,1,0,0,c_3,0,edge_96.0.1054.75,0
146,0,126.13477,Feb,1038.0 minutes,0,0.0 minutes,,2,0,3,log8080,0.033333333,0,,Returning_Visitor,1,0,0,,0,chrome_80,0
147,0,102.095826,Feb,573.0 minutes,0,0.0 minutes,573,2,0,4,log404,0.05,0,,Returning_Visitor,3,0,0,c_3,0,chrome_89,0
148,0,116.2621167,Feb,1231.233333 minutes,0.007142857,0.0 minutes,1231.233333,1,0,28,log202,0.030357143,0,,Returning_Visitor,4,0,0,c_3,0,safari_15.4,0
149,0.8,92.74728861,Feb,316.6666667 minutes,0,0.0 minutes,316.6666667,2,0,11,log_100,0.027272727,0,,Returning_Visitor,2,0,0,c_1,0,chrome_80,0
150,0,96.44741944,Feb,873.7365079 minutes,0.0075,0.0 minutes,,1,0,20,log_100,0.028166667,0,,Returning_Visitor,1,0,0,c_1,0,chrome_99.1.4,0
151,0.4,104.1924849,Feb,0.0 minutes,0.2,0.0 minutes,,2,0,1,log_100,0.2,,,Returning_Visitor,3,0,0,c_4,0,chrome_90.1.7,0
152,,121.7366624,Feb,16.0 minutes,0.1,0.0 minutes,,2,0,4,log404,0.15,0,,Returning_Visitor,5,0,0,c_1,0,browser_5_v11,0
153,0.2,121.2645815,Feb,615.0 minutes,0,0.0 minutes,615,2,0,19,log_100,0.026315789,0,,Returning_Visitor,3,0,0,c_3,0,chrome_90.1.7,0
154,0,107.4743641,Feb,261.75 minutes,0,,261.75,2,0,9,log200,0.026666667,0,,Returning_Visitor,1,0,0,c_1,0,,0
155,,113.5064068,Feb,615.8831169 minutes,0.033333333,0.0 minutes,615.8831169,3,0,21,log_100,0.04993081,0,,Returning_Visitor,2,0,0,c_1,1,chrome_98.0.1,0
156,0,92.46249368,Feb,0.0 minutes,0.2,0.0 minutes,0,3,0,1,log8080,0.2,0,,Returning_Visitor,3,,0,c_2,1,browser_3_v20,0
157,0.8,102.7145341,Feb,117.5 minutes,0,0.0 minutes,,1,0,6,log400,0.033333333,0,,Returning_Visitor,1,0,0,c_3,1,safari_15,0
158,0,110.8361126,Feb,0.0 minutes,0.2,0.0 minutes,0,1,0,1,log200,0.2,0,,Returning_Visitor,1,0,0,c_3,0,safari_14,0
159,0,98.37178257,Feb,0.0 minutes,0.2,0.0 minutes,0,3,0,1,log202,0.2,0,,Returning_Visitor,3,0,0,c_3,0,chrome_80,0
160,0.6,97.30988754,Feb,501.66666669999995 minutes,0.008695652,0.0 minutes,,1,0,23,log8080,0.01884058,0,,Returning_Visitor,4,0,0,c_2,0,safari_13,0
161,0,112.8385709,Feb,829.1666667000001 minutes,0.03030303,22.0 minutes,909.1666667,1,2,31,log202,0.040606061,2,,Returning_Visitor,1,58,0,c_1,1,safari_15,0
162,0,126.0974412,Feb,1223.0 minutes,0.015217391,0.0 minutes,1232.5,1,1,23,log400,0.012463768,0,,Returning_Visitor,1,9.5,0,c_2,1,safari_13,0
163,0.4,103.3082941,Feb,467.0 minutes,0,0.0 minutes,467,1,0,6,log8080,0.016666667,0,,Returning_Visitor,3,0,0,c_3,0,safari_15,0
164,0.6,114.8949291,Feb,737.1666667000001 minutes,0.008695652,0.0 minutes,737.1666667,2,0,23,log400,0.011594203,0,,Returning_Visitor,1,0,0,c_3,0,chrome_80,0
165,0,98.81966214,Feb,129.0 minutes,0,0.0 minutes,,1,0,12,log200,0.033333333,0,,Returning_Visitor,3,0,0,c_2,0,safari_15,0
167,0,101.3570264,Feb,125.0 minutes,0.086666667,0.0 minutes,125,2,0,5,log404,0.166666667,0,,Returning_Visitor,1,0,0,c_3,0,chrome_99.1.4,0
168,0,106.9829523,Feb,684.3333332999999 minutes,0.018181818,0.0 minutes,684.3333333,2,0,11,log200,0.063636364,0,,Returning_Visitor,6,0,0,c_1,0,edge_96.0.1054.72,0
170,0.8,93.63222094,Feb,487.5 minutes,0,0.0 minutes,,1,1,15,log8080,0.019166667,0,,Returning_Visitor,2,0,0,c_4,1,safari_15,0
172,0.6,100.6392491,Feb,55.0 minutes,0.066666667,0.0 minutes,55,1,0,3,log400,0.1,0,,Returning_Visitor,1,0,0,c_3,0,safari_13.1,0
173,0.8,95.07206441,Feb,0.0 minutes,0.2,0.0 minutes,,1,0,1,log404,0.2,0,,Returning_Visitor,1,0,0,c_2,1,safari_14,0
174,1,93.49911374,Feb,446.9277778 minutes,0,0.0 minutes,488.2277778,2,5,24,log200,0.008602151,0,,Returning_Visitor,8,41.3,0,c_1,1,chrome_99.1.3,0
175,,103.3271748,Feb,320.5 minutes,0,0.0 minutes,,1,3,10,log_100,0.015384615,0,,Returning_Visitor,2,87,0,c_3,0,,0
176,0,88.34533775,Feb,666.0 minutes,0,,666,1,0,7,log202,0.014285714,0,,Returning_Visitor,6,0,0,c_2,0,safari_13.1,0
177,0,117.5015995,Feb,405.7095238 minutes,0.010743802,0.0 minutes,,1,1,21,log8080,0.047002635,0,,Returning_Visitor,1,0,0,c_4,0,,0
178,0,101.9026557,Feb,0.0 minutes,0.2,0.0 minutes,,3,0,1,log202,0.2,0,,Returning_Visitor,3,0,0,c_3,0,chrome_89,0
179,0.6,110.4255808,Feb,,0.033333333,0.0 minutes,163.25,1,0,6,log400,0.033333333,0,,Returning_Visitor,6,0,0,,0,safari_13,0
